yearend,locationabbr,sample_size,education,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2012,AZ,653.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,37.6
2012,AZ,1862.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,24.7
2012,AZ,2293.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,20.4
2012,AZ,2447.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,13.7
2013,AZ,349.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,42.5
2013,AZ,1067.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,27.3
2013,AZ,1234.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,24.9
2013,AZ,1362.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,19.2
2013,AZ,349.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,22.2
2013,AZ,1067.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,35.4
2013,AZ,1234.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,37.1
2013,AZ,1362.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,39.4
2013,AZ,1183.0,Some college or technical school,FV,Q018,Education,Some college or technical school,EDU,EDUCOTEC,39.1
2013,AZ,1323.0,College graduate,FV,Q018,Education,College graduate,EDU,EDUCOGRAD,33.1
2013,AZ,337.0,Less than high school,FV,Q018,Education,Less than high school,EDU,EDUHS,41.9
2013,AZ,1008.0,High school graduate,FV,Q018,Education,High school graduate,EDU,EDUHSGRAD,44.6
2013,AZ,1310.0,College graduate,FV,Q019,Education,College graduate,EDU,EDUCOGRAD,14.7
2013,AZ,1173.0,Some college or technical school,FV,Q019,Education,Some college or technical school,EDU,EDUCOTEC,24.0
2013,AZ,324.0,Less than high school,FV,Q019,Education,Less than high school,EDU,EDUHS,29.8
2013,AZ,986.0,High school graduate,FV,Q019,Education,High school graduate,EDU,EDUHSGRAD,28.8
2013,AZ,985.0,High school graduate,PA,Q043,Education,High school graduate,EDU,EDUHSGRAD,49.1
2013,AZ,1155.0,Some college or technical school,PA,Q043,Education,Some college or technical school,EDU,EDUCOTEC,54.8
2013,AZ,1295.0,College graduate,PA,Q043,Education,College graduate,EDU,EDUCOGRAD,59.2
2013,AZ,329.0,Less than high school,PA,Q043,Education,Less than high school,EDU,EDUHS,38.4
2013,AZ,325.0,Less than high school,PA,Q044,Education,Less than high school,EDU,EDUHS,17.5
2013,AZ,972.0,High school graduate,PA,Q044,Education,High school graduate,EDU,EDUHSGRAD,17.6
2013,AZ,1131.0,Some college or technical school,PA,Q044,Education,Some college or technical school,EDU,EDUCOTEC,22.9
2013,AZ,1284.0,College graduate,PA,Q044,Education,College graduate,EDU,EDUCOGRAD,27.9
2013,AZ,981.0,High school graduate,PA,Q045,Education,High school graduate,EDU,EDUHSGRAD,34.7
2013,AZ,328.0,Less than high school,PA,Q045,Education,Less than high school,EDU,EDUHS,20.4
2013,AZ,1165.0,Some college or technical school,PA,Q046,Education,Some college or technical school,EDU,EDUCOTEC,33.5
2013,AZ,1142.0,Some college or technical school,PA,Q045,Education,Some college or technical school,EDU,EDUCOTEC,36.9
